Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC80370252016210LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20160728160858_20160728182053.01,LT8BPF20160720111055_20160720133144.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/28,2016:210:17:58:58.6876910,2016:210:17:59:30.4576880,9,4.43,55.17528456,148.15123803,4.831,5.004,221,4,Y,LPGS_2.6.2,50°16'51.64"N,106°45'01.08"W,51°21'05.76"N,107°42'25.31"W,50°53'32.28"N,105°04'11.89"W,49°11'35.81"N,105°50'34.44"W,49°38'43.33"N,108°23'24.32"W,50.28101,-106.7503,51.3516,-107.70703,50.8923,-105.06997,49.19328,-105.8429,49.64537,-108.39009,LC80370252016210LGN00,LC80370252016210LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252016210LGN00
LC80380252016201LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20160719175336_20160719181329.01,LT8BPF20160707085159_20160720111055.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/19,2016:201:18:05:07.5256830,2016:201:18:05:39.2956800,9,1.93,56.96014859,146.93523207,5.627,5.044,276,4,Y,LPGS_2.6.2,50°16'51.38"N,108°17'56.76"W,51°21'05.58"N,109°15'20.48"W,50°53'32.03"N,106°37'07.64"W,49°11'35.45"N,107°23'30.48"W,49°38'43.12"N,109°56'19.75"W,50.28094,-108.2991,51.35155,-109.25569,50.89223,-106.61879,49.19318,-107.3918,49.64531,-109.93882,LC80380252016201LGN00,LC80380252016201LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252016201LGN00
LC80380252016185LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20160703175306_20160703181322.01,LT8BPF20160620195437_20160707083823.01,L8CPF20160701_20160930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/07/03,2016:185:18:05:01.0991220,2016:185:18:05:32.8691190,9,1.09,59.17270158,146.11425112,5.698,4.932,284,4,Y,LPGS_2.6.2,50°16'52.43"N,108°17'47.00"W,51°21'06.66"N,109°15'10.94"W,50°53'32.75"N,106°36'57.49"W,49°11'36.28"N,107°23'20.44"W,49°38'44.27"N,109°56'10.32"W,50.28123,-108.29639,51.35185,-109.25304,50.89243,-106.61597,49.19341,-107.38901,49.64563,-109.9362,LC80380252016185LGN00,LC80380252016185LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252016185LGN00
LC80380252016169LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20160617175320_20160617181313.01,LT8BPF20160606063351_20160620173313.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/17,2016:169:18:04:51.5088880,2016:169:18:05:23.2788850,9,11.53,59.93983848,147.05238086,5.92,5.496,253,4,Y,LPGS_2.6.2,50°16'52.03"N,108°16'58.62"W,51°21'06.30"N,109°14'22.52"W,50°53'32.28"N,106°36'08.82"W,49°11'36.02"N,107°22'32.20"W,49°38'44.20"N,109°55'22.30"W,50.28112,-108.28295,51.35175,-109.23959,50.8923,-106.60245,49.19334,-107.37561,49.64561,-109.92286,LC80380252016169LGN00,LC80380252016169LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252016169LGN00
LC80370252016162LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20160610174644_20160610182034.01,LT8BPF20160606063351_20160620173313.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/10,2016:162:17:58:39.5691680,2016:162:17:59:11.3391650,9,.07,59.76351528,147.89529395,5.378,4.983,382,4,Y,LPGS_2.6.2,50°16'51.13"N,106°44'48.73"W,51°21'05.44"N,107°42'13.32"W,50°53'31.49"N,105°03'58.90"W,49°11'35.09"N,105°50'21.66"W,49°38'43.15"N,108°23'12.52"W,50.28087,-106.74687,51.35151,-107.7037,50.89208,-105.06636,49.19308,-105.83935,49.64532,-108.38681,LC80370252016162LGN00,LC80370252016162LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252016162LGN00
LC80380252016153LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20160601175254_20160601181310.01,LT8BPF20160522121054_20160606055146.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/06/01,2016:153:18:04:48.8168760,2016:153:18:05:20.5868720,9,12.14,59.05787552,149.20863201,5.717,5.833,187,4,Y,LPGS_2.6.2,50°16'51.78"N,108°18'00.61"W,51°21'06.16"N,109°15'24.48"W,50°53'31.99"N,106°37'10.81"W,49°11'35.74"N,107°23'34.26"W,49°38'43.98"N,109°56'24.36"W,50.28105,-108.30017,51.35171,-109.2568,50.89222,-106.61967,49.19326,-107.39285,49.64555,-109.9401,LC80380252016153LGN00,LC80380252016153LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252016153LGN00
LC80370252016146LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20160525174641_20160525182031.01,LT8BPF20160522121054_20160606055146.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/25,2016:146:17:58:35.8779800,2016:146:17:59:07.6479770,9,66.96,58.13218637,150.28294996,7.732,7.15,50,4,Y,LPGS_2.6.2,50°16'51.89"N,106°45'38.41"W,51°21'06.19"N,107°43'02.82"W,50°53'32.14"N,105°04'48.50"W,49°11'35.84"N,105°51'11.63"W,49°38'44.02"N,108°24'02.38"W,50.28108,-106.76067,51.35172,-107.71745,50.89226,-105.08014,49.19329,-105.85323,49.64556,-108.40066,LC80370252016146LGN00,LC80370252016146LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252016146LGN00
LC80380252016137LGN00, 038, 025, 038, 025,NADIR,FULL,NOMINAL,LO8BPF20160516175248_20160516181304.01,LT8BPF20160507073845_20160522095010.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/16,2016:137:18:04:42.7711740,2016:137:18:05:14.5411710,9,.19,56.47819323,151.60803255,5.594,5.144,339,4,Y,LPGS_2.6.2,50°16'52.25"N,108°18'17.46"W,51°21'06.59"N,109°15'41.04"W,50°53'32.42"N,106°37'27.80"W,49°11'36.06"N,107°23'51.43"W,49°38'44.34"N,109°56'41.14"W,50.28118,-108.30485,51.35183,-109.2614,50.89234,-106.62439,49.19335,-107.39762,49.64565,-109.94476,LC80380252016137LGN00,LC80380252016137LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380252016137LGN00
LC80370252016130LGN00, 037, 025, 037, 025,NADIR,FULL,NOMINAL,LO8BPF20160509174637_20160509182026.01,LT8BPF20160507073845_20160522095010.01,L8CPF20160401_20160630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/05/09,2016:130:17:58:31.8070200,2016:130:17:59:03.5770170,9,50.58,54.84997877,152.52886109,5.958,4.471,77,4,Y,LPGS_2.6.2,50°16'52.72"N,106°46'26.58"W,51°21'07.09"N,107°43'49.40"W,50°53'33.25"N,105°05'37.54"W,49°11'36.49"N,105°52'01.09"W,49°38'44.41"N,108°24'49.46"W,50.28131,-106.77405,51.35197,-107.73039,50.89257,-105.09376,49.19347,-105.86697,49.64567,-108.41374,LC80370252016130LGN00,LC80370252016130LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80370252016130LGN00
LC80380242016121LGN00, 038, 024, 038, 024,NADIR,FULL,NOMINAL,LO8BPF20160430175250_20160430181306.02,LT8BPF20160422201524_20160507073029.01,L8CPF20160401_20160630.02,L8RLUT20150303_20431231v11.h5,-.002,LGN,DAY,L1T,OLI_TIRS,2016/04/30,2016:121:18:04:21.3116410,2016:121:18:04:53.0816380,9,12.45,51.22709325,155.02284099,4.809,4.582,256,4,Y,LPGS_2.6.2,51°41'35.63"N,107°46'02.93"W,52°45'58.28"N,108°44'50.17"W,52°17'54.06"N,106°01'44.33"W,50°36'10.19"N,106°50'26.20"W,51°03'44.96"N,109°27'43.60"W,51.69323,-107.76748,52.76619,-108.74727,52.29835,-106.02898,50.60283,-106.84061,51.06249,-109.46211,LC80380242016121LGN00,LC80380242016121LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80380242016121LGN00
