Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE70220272016193EDC00,BUMPER,EDC,DAY, 022, 027,2016/07/11,2016:193:16:29:39.1206250,2016:193:16:30:05.8745625, 9, 9,  89.98,  89.56,  78.30,  99.09,  92.96,60.44208527,143.01622009,47°26'38.36"N,84°43'42.53"W,48°24'54.50"N,85°41'02.29"W,48°02'48.16"N,83°09'34.13"W,46°49'16.39"N,86°15'46.80"W,46°27'49.82"N,83°48'40.18"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,-6.176056,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE, 48.44078   (48°26'26.81"N), -86.34557  (86°20'44.05"W), 48.37488   (48°22'29.57"N), -83.05249  (83°03'08.96"W), 46.50543   (46°30'19.55"N), -86.36917   (86°22'09.01"W), 46.44381   (46°26'37.72"N), -83.19441   (83°11'39.88"W),14341,16261,7171,8131,7171,8131,,,18,9.746,4.632,8.575,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44399,-84.72848,48.41514,-85.68397,48.04671,-83.15948,46.82122,-86.263,46.46384,-83.81116,LE70220272016193EDC00,LE70220272016193EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272016193EDC00
LE70210272016186EDC00,BUMPER,EDC,DAY, 021, 027,2016/07/04,2016:186:16:23:28.9597500,2016:186:16:23:55.7136249, 9, 9,  27.80,  47.05,  49.16,   5.66,   9.31,61.27626038,142.71859741,47°26'39.26"N,83°11'21.34"W,48°24'50.33"N,84°08'41.21"W,48°02'43.98"N,81°37'13.62"W,46°49'14.02"N,84°43'27.37"W,46°27'47.12"N,82°16'21.32"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,4.89291,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE, 48.41833   (48°25'05.99"N), -84.94007  (84°56'24.25"W), 48.48458   (48°29'04.49"N), -81.53455  (81°32'04.38"W), 46.39836   (46°23'54.10"N), -84.79202   (84°47'31.27"W), 46.46011   (46°27'36.40"N), -81.51440   (81°30'51.84"W),15001,16801,7501,8401,7501,8401,,,130,4.381,2.899,3.285,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44424,-83.18926,48.41398,-84.14478,48.04555,-81.62045,46.82056,-84.72427,46.46309,-82.27259,LE70210272016186EDC00,LE70210272016186EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272016186EDC00
LE70220272016177EDC00,BUMPER,EDC,DAY, 022, 027,2016/06/25,2016:177:16:29:39.9563750,2016:177:16:30:06.7102500, 9, 9,  63.25,  99.09,  34.07,  90.98,  28.87,61.95879364,142.9223938,47°26'39.23"N,84°44'33.97"W,48°24'54.47"N,85°41'52.12"W,48°02'48.16"N,83°10'25.57"W,46°49'19.34"N,86°16'35.08"W,46°27'52.67"N,83°49'29.86"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,3.172262,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,PREDICTIVE, 48.44623   (48°26'46.43"N), -86.35362  (86°21'13.03"W), 48.38040   (48°22'49.44"N), -83.05611  (83°03'22.00"W), 46.50007   (46°30'00.25"N), -86.37705   (86°22'37.38"W), 46.43855   (46°26'18.78"N), -83.19868   (83°11'55.25"W),14421,16281,7211,8141,7211,8141,,,152,4.347,2.609,3.477,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44423,-84.74277,48.41513,-85.69781,48.04671,-83.17377,46.82204,-86.27641,46.46463,-83.82496,LE70220272016177EDC00,LE70220272016177EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272016177EDC00
LE70210272016170EDC00,BUMPER,EDC,DAY, 021, 027,2016/06/18,2016:170:16:23:28.7626249,2016:170:16:23:55.5164999, 9, 9,   0.75,   0.00,   0.05,   2.87,   0.09,62.16305923,143.5133667,47°26'38.33"N,83°12'01.44"W,48°24'53.32"N,84°09'17.53"W,48°02'47.22"N,81°37'52.18"W,46°49'14.74"N,84°44'03.37"W,46°27'47.84"N,82°16'59.59"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,16.063278,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41508   (48°24'54.29"N), -84.95604  (84°57'21.74"W), 48.48181   (48°28'54.52"N), -81.55076  (81°33'02.74"W), 46.40323   (46°24'11.63"N), -84.80797   (84°48'28.69"W), 46.46544   (46°27'55.58"N), -81.53008   (81°31'48.29"W),14941,16801,7471,8401,7471,8401,,,199,4.083,2.697,3.066,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44398,-83.2004,48.41481,-84.15487,48.04645,-81.63116,46.82076,-84.73427,46.46329,-82.28322,LE70210272016170EDC00,LE70210272016170EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272016170EDC00
LE70220272016161EDC00,BUMPER,EDC,DAY, 022, 027,2016/06/09,2016:161:16:29:38.2826249,2016:161:16:30:05.0364999, 9, 9,  48.83,  85.67,  44.70,  22.52,  42.45,61.97080612,144.71321106,47°26'38.98"N,84°44'54.02"W,48°24'49.86"N,85°42'11.88"W,48°02'43.94"N,83°10'48.29"W,46°49'13.62"N,86°16'54.34"W,46°27'47.52"N,83°49'51.92"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-3.673794,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44357   (48°26'36.85"N), -86.36176  (86°21'42.34"W), 48.37798   (48°22'40.73"N), -83.06440  (83°03'51.84"W), 46.50012   (46°30'00.43"N), -86.38487   (86°23'05.53"W), 46.43881   (46°26'19.72"N), -83.20648   (83°12'23.33"W),14401,16281,7201,8141,7201,8141,,,54,3.82,2.675,2.727,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44416,-84.74834,48.41385,-85.7033,48.04554,-83.18008,46.82045,-86.28176,46.4632,-83.83109,LE70220272016161EDC00,LE70220272016161EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272016161EDC00
LE70220272016145EDC00,BUMPER,EDC,DAY, 022, 027,2016/05/24,2016:145:16:29:33.3308750,2016:145:16:30:00.0847500, 9, 9,  90.33,  99.01,  94.50,  95.59,  72.21,60.30895233,147.51431274,47°26'39.62"N,84°44'27.42"W,48°24'54.50"N,85°41'42.76"W,48°02'48.55"N,83°10'21.18"W,46°49'17.44"N,86°16'27.41"W,46°27'51.41"N,83°49'27.08"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,4.691422,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44623   (48°26'46.43"N), -86.35362  (86°21'13.03"W), 48.38040   (48°22'49.44"N), -83.05611  (83°03'22.00"W), 46.50007   (46°30'00.25"N), -86.37705   (86°22'37.38"W), 46.43855   (46°26'18.78"N), -83.19868   (83°11'55.25"W),14421,16281,7211,8141,7211,8141,,,32,3.974,2.999,2.607,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44434,-84.74095,48.41514,-85.69521,48.04682,-83.17255,46.82151,-86.27428,46.46428,-83.82419,LE70220272016145EDC00,LE70220272016145EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272016145EDC00
LE70210272016138EDC00,BUMPER,EDC,DAY, 021, 027,2016/05/17,2016:138:16:23:19.2353750,2016:138:16:23:45.9892499, 9, 9,  36.79,  29.06,  82.59,   8.79,  26.70,59.05383301,148.76911926,47°26'37.64"N,83°11'16.15"W,48°24'56.52"N,84°08'28.68"W,48°02'50.71"N,81°37'07.93"W,46°49'18.41"N,84°43'14.16"W,46°27'52.20"N,82°16'14.81"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,11.098418,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41847   (48°25'06.49"N), -84.93602  (84°56'09.67"W), 48.48458   (48°29'04.49"N), -81.53455  (81°32'04.38"W), 46.39849   (46°23'54.56"N), -84.78812   (84°47'17.23"W), 46.46011   (46°27'36.40"N), -81.51440   (81°30'51.84"W),15001,16781,7501,8391,7501,8391,,,129,4.605,3.233,3.279,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44379,-83.18782,48.4157,-84.1413,48.04742,-81.61887,46.82178,-84.7206,46.4645,-82.27078,LE70210272016138EDC00,LE70210272016138EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272016138EDC00
LE70220272016129EDC00,BUMPER,EDC,DAY, 022, 027,2016/05/08,2016:129:16:29:29.8693125,2016:129:16:29:56.6232500, 9, 9,  48.83,  59.83,  91.30,   0.11,  44.09,57.00031662,150.23930359,47°26'38.47"N,84°44'29.83"W,48°24'49.46"N,85°41'46.00"W,48°02'43.73"N,83°10'25.00"W,46°49'12.65"N,86°16'31.37"W,46°27'46.48"N,83°49'31.73"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,15.780556,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44087   (48°26'27.13"N), -86.36180  (86°21'42.48"W), 48.37529   (48°22'31.04"N), -83.06461  (83°03'52.60"W), 46.50282   (46°30'10.15"N), -86.38484   (86°23'05.42"W), 46.44151   (46°26'29.44"N), -83.20629   (83°12'22.64"W),14361,16281,7181,8141,7181,8141,,,32,8.45,5.364,6.529,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44402,-84.74162,48.41374,-85.69611,48.04548,-83.17361,46.82018,-86.27538,46.46291,-83.82548,LE70220272016129EDC00,LE70220272016129EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272016129EDC00
LE70210272016122EDC00,BUMPER,EDC,DAY, 021, 027,2016/05/01,2016:122:16:23:17.7151249,2016:122:16:23:44.4690624, 9, 9,  65.69,  21.88,  78.01,  72.60,  90.28,55.090271,151.22892761,47°26'37.64"N,83°11'52.84"W,48°24'48.64"N,84°09'09.61"W,48°02'43.15"N,81°37'47.57"W,46°49'10.74"N,84°43'55.20"W,46°27'44.42"N,82°16'54.77"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,-2.559367,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41805   (48°25'04.98"N), -84.94816  (84°56'53.38"W), 48.48455   (48°29'04.38"N), -81.54267  (81°32'33.61"W), 46.39541   (46°23'43.48"N), -84.79962   (84°47'58.63"W), 46.45738   (46°27'26.57"N), -81.52219   (81°31'19.88"W),15021,16801,7511,8401,7511,8401,,,151,4.95,3.352,3.643,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44379,-83.19801,48.41351,-84.15267,48.04532,-81.62988,46.81965,-84.732,46.46234,-82.28188,LE70210272016122EDC00,LE70210272016122EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272016122EDC00
LE70220272016113EDC01,BUMPER,EDC,DAY, 022, 027,2016/04/22,2016:113:16:29:25.4896249,2016:113:16:29:52.2434999, 9, 9,  33.94,  32.41,  61.30,   0.28,  41.79,52.28990936,152.27922058,47°26'37.43"N,84°44'26.66"W,48°25'01.38"N,85°41'39.16"W,48°02'54.92"N,83°10'15.10"W,46°49'22.15"N,86°16'23.16"W,46°27'55.30"N,83°49'20.78"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-5.286513,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44355   (48°26'36.78"N), -86.35771  (86°21'27.76"W), 48.37798   (48°22'40.73"N), -83.06440  (83°03'51.84"W), 46.50549   (46°30'19.76"N), -86.38090   (86°22'51.24"W), 46.44420   (46°26'39.12"N), -83.20610   (83°12'21.96"W),14361,16261,7181,8131,7181,8131,,,123,4.597,3.343,3.155,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44373,-84.74074,48.41705,-85.69421,48.04859,-83.17086,46.82282,-86.2731,46.46536,-83.82244,LE70220272016113EDC01,LE70220272016113EDC01,http://earthexplorer.usgs.gov/download/options/5441/LE70220272016113EDC01
