Landsat Scene Identifier,Spacecraft Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,WRS Type,Date Acquired,Start Time,Stop Time,Sensor Anomalies,Acquisition Quality,Quality Band 1,Quality Band 2,Quality Band 3,Quality Band 4,Quality Band 5,Quality Band 6,Quality Band 7,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Browse  Exists,Data Category,Map Projection LORa,Data Type L0Rp,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Reflective Samples,Reflective Lines,Thermal Lines,Thermal Samples,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Geometric RMSE Verify,Map Projection Level 1,Datum,Ellipsoid,UTM Zone,Vertical Long from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LT50370252011308PAC01,LANDSAT_5,BUMPER,PAC,DAY, 037, 025,2,2011/11/04,2011:308:17:46:45.50325,2011:308:17:47:12.11606,N,9,9,9,9,9,9,9,9,45.06,83.25,13.12,77.1,6.78,22.81212401,163.29255439, 50.28347   (50°17'00.49"N),-106.80354   (106°48'12.74"W), 51.24470   (51°14'40.92"N),-107.75551  (107°45'19.84"W), 50.86800   (50°52'04.80"N),-105.18548   (105°11'07.73"W), 49.67841   (49°40'42.28"N),-108.38323   (108°22'59.63"W), 49.31366 (49°18'49.18"N),-105.89141   (105°53'29.08"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.24661   (51°14'47.80"N),-108.62675   (108°37'36.30"S), 51.30280   (51°18'10.08"N),-105.05881   (105°03'31.72"S), 49.22422   (49°13'27.19"N),-108.47631  (108°28'34.72"W), 49.27654   (49°16'35.54"N),-105.05637   (105°03'22.93"S),8301,7511,7511,8301,53,4.344,3.239,2.895,.244,UTM,WGS84,WGS84,13,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28347,-106.80354,51.2447,-107.75551,50.868,-105.18548,49.67841,-108.38323,49.31366,-105.89141,LT50370252011308PAC01,LT50370252011308PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50370252011308PAC01
LT50380252011299PAC01,LANDSAT_5,BUMPER,PAC,DAY, 038, 025,2,2011/10/26,2011:299:17:53:06.21219,2011:299:17:53:32.82500,N,9,9,9,9,9,9,9,9,.33,.4,.25,.33,.34,25.67110253,162.62274541, 50.28781   (50°17'16.12"N),-108.35140   (108°21'05.04"W), 51.24905   (51°14'56.58"N),-109.30343  (109°18'12.35"W), 50.87232   (50°52'20.35"N),-106.73318   (106°43'59.45"W), 49.68277   (49°40'57.97"N),-109.93125   (109°55'52.50"W), 49.31799 (49°19'04.76"N),-107.43921   (107°26'21.16"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27449   (51°16'28.16"N),-110.02658   (110°01'35.69"S), 51.19499   (51°11'41.96"N),-106.57974   (106°34'47.06"S), 49.33215   (49°19'55.74"N),-110.06544  (110°03'55.58"W), 49.25791   (49°15'28.48"N),-106.75558   (106°45'20.09"S),8031,7201,7201,8031,83,4.701,3.329,3.319,.23,UTM,WGS84,WGS84,12,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28781,-108.3514,51.24905,-109.30343,50.87232,-106.73318,49.68277,-109.93125,49.31799,-107.43921,LT50380252011299PAC01,LT50380252011299PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50380252011299PAC01
LT50370252011292PAC01,LANDSAT_5,BUMPER,PAC,DAY, 037, 025,2,2011/10/19,2011:292:17:47:00.21625,2011:292:17:47:26.82906,N,9,9,9,9,9,9,9,9,24.29,65.43,2.52,21.89,7.31,28.03468596,161.81204162, 50.28346   (50°17'00.46"N),-106.80365   (106°48'13.14"W), 51.24469   (51°14'40.88"N),-107.75562  (107°45'20.23"W), 50.86799   (50°52'04.76"N),-105.18559   (105°11'08.12"W), 49.67840   (49°40'42.24"N),-108.38334   (108°23'00.02"W), 49.31365 (49°18'49.14"N),-105.89152   (105°53'29.47"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.24325   (51°14'35.70"N),-108.64799   (108°38'52.76"S), 51.30009   (51°18'00.32"N),-105.08033   (105°04'49.19"S), 49.22091   (49°13'15.28"N),-108.49668  (108°29'48.05"W), 49.27383   (49°16'25.79"N),-105.07699   (105°04'37.16"S),8301,7511,7511,8301,65,3.992,2.976,2.661,.234,UTM,WGS84,WGS84,13,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28346,-106.80365,51.24469,-107.75562,50.86799,-105.18559,49.6784,-108.38334,49.31365,-105.89152,LT50370252011292PAC01,LT50370252011292PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50370252011292PAC01
LT50380252011283PAC01,LANDSAT_5,BUMPER,PAC,DAY, 038, 025,2,2011/10/10,2011:283:17:53:14.40056,2011:283:17:53:41.01338,N,9,9,9,9,9,9,9,9,.13,.13,.07,.18,.13,31.19235688,160.47534583, 50.28726   (50°17'14.14"N),-108.32590   (108°19'33.24"W), 51.24850   (51°14'54.60"N),-109.27792  (109°16'40.51"W), 50.87177   (50°52'18.37"N),-106.70770   (106°42'27.72"W), 49.68222   (49°40'55.99"N),-109.90573   (109°54'20.63"W), 49.31744 (49°19'02.78"N),-107.41372   (107°24'49.39"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27970   (51°16'46.92"N),-110.00496   (110°00'17.86"S), 51.19940   (51°11'57.84"N),-106.55354   (106°33'12.74"S), 49.33737   (49°20'14.53"N),-110.04469  (110°02'40.88"W), 49.26238   (49°15'44.57"N),-106.73044   (106°43'49.58"S),8041,7201,7201,8041,84,4.846,3.497,3.355,.241,UTM,WGS84,WGS84,12,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28726,-108.3259,51.2485,-109.27792,50.87177,-106.7077,49.68222,-109.90573,49.31744,-107.41372,LT50380252011283PAC01,LT50380252011283PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50380252011283PAC01
LT50370252011276PAC01,LANDSAT_5,BUMPER,PAC,DAY, 037, 025,2,2011/10/03,2011:276:17:47:08.96625,2011:276:17:47:35.57913,N,9,9,9,9,9,9,9,9,.77,1.15,.47,.27,1.19,33.6974654,159.20047415, 50.28023   (50°16'48.83"N),-106.78314   (106°46'59.30"W), 51.24145   (51°14'29.22"N),-107.73506  (107°44'06.22"W), 50.86478   (50°51'53.21"N),-105.16520   (105°09'54.72"W), 49.67516   (49°40'30.58"N),-108.36272   (108°21'45.79"W), 49.31043 (49°18'37.55"N),-105.87105   (105°52'15.78"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.24714   (51°14'49.70"N),-108.60960   (108°36'34.56"S), 51.30280   (51°18'10.08"N),-105.05021   (105°03'00.76"S), 49.22472   (49°13'28.99"N),-108.45986  (108°27'35.50"W), 49.27655   (49°16'35.58"N),-105.04812   (105°02'53.23"S),8281,7511,7511,8281,65,3.928,2.814,2.741,.214,UTM,WGS84,WGS84,13,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28023,-106.78314,51.24145,-107.73506,50.86478,-105.1652,49.67516,-108.36272,49.31043,-105.87105,LT50370252011276PAC01,LT50370252011276PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50370252011276PAC01
LT50380252011267PAC01,LANDSAT_5,BUMPER,PAC,DAY, 038, 025,2,2011/09/24,2011:267:17:53:31.83169,2011:267:17:53:58.44456,N,9,9,9,9,9,9,9,9,.02,.01,.01,.03,.02,36.93139943,157.37090438, 50.28801   (50°17'16.84"N),-108.34279   (108°20'34.04"W), 51.24925   (51°14'57.30"N),-109.29482  (109°17'41.35"W), 50.87252   (50°52'21.07"N),-106.72456   (106°43'28.42"W), 49.68297   (49°40'58.69"N),-109.92265   (109°55'21.54"W), 49.31819 (49°19'05.48"N),-107.43060   (107°25'50.16"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27708   (51°16'37.49"N),-110.01362   (110°00'49.03"S), 51.19736   (51°11'50.50"N),-106.57092   (106°34'15.31"S), 49.33474   (49°20'05.06"N),-110.05300  (110°03'10.80"W), 49.26029   (49°15'37.04"N),-106.74712   (106°44'49.63"S),8021,7201,7201,8021,84,4.581,2.958,3.498,.206,UTM,WGS84,WGS84,12,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28801,-108.34279,51.24925,-109.29482,50.87252,-106.72456,49.68297,-109.92265,49.31819,-107.4306,LT50380252011267PAC01,LT50380252011267PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50380252011267PAC01
LT50370252011260PAC01,LANDSAT_5,BUMPER,PAC,DAY, 037, 025,2,2011/09/17,2011:260:17:47:28.74281,2011:260:17:47:55.35575,N,9,9,9,9,9,9,9,9,49.32,24.13,61.33,23.15,88.68,39.40986456,155.75367953, 50.28944   (50°17'21.98"N),-106.80824   (106°48'29.66"W), 51.25069   (51°15'02.48"N),-107.76030  (107°45'37.08"W), 50.87394   (50°52'26.18"N),-105.18995   (105°11'23.82"W), 49.68441   (49°41'03.88"N),-108.38815   (108°23'17.34"W), 49.31962 (49°19'10.63"N),-105.89603   (105°53'45.71"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25199   (51°15'07.16"N),-108.62718   (108°37'37.85"S), 51.30819   (51°18'29.48"N),-105.07173   (105°04'18.23"S), 49.22961   (49°13'46.60"N),-108.47669  (108°28'36.08"W), 49.28193   (49°16'54.95"N),-105.06875   (105°04'07.50"S),8271,7511,7511,8271,46,3.532,2.629,2.358,.196,UTM,WGS84,WGS84,13,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28944,-106.80824,51.25069,-107.7603,50.87394,-105.18995,49.68441,-108.38815,49.31962,-105.89603,LT50370252011260PAC01,LT50370252011260PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50370252011260PAC01
LT50380252011251PAC02,LANDSAT_5,BUMPER,PAC,DAY, 038, 025,2,2011/09/08,2011:251:17:53:47.41969,2011:251:17:54:14.03256,N,9,9,9,9,9,9,9,9,0,0,0,0,0,42.50897733,153.55350885, 50.29259   (50°17'33.32"N),-108.35523   (108°21'18.83"W), 51.25385   (51°15'13.86"N),-109.30733  (109°18'26.39"W), 50.87708   (50°52'37.49"N),-106.73683   (106°44'12.59"W), 49.68757   (49°41'15.25"N),-109.93525   (109°56'06.90"W), 49.32276 (49°19'21.94"N),-107.44298   (107°26'34.73"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27985   (51°16'47.46"N),-110.02216   (110°01'19.78"S), 51.20070   (51°12'02.52"N),-106.58779   (106°35'16.04"S), 49.33751   (49°20'15.04"N),-110.06121  (110°03'40.36"W), 49.26359   (49°15'48.92"N),-106.76334   (106°45'48.02"S),8001,7201,7201,8001,87,4.509,3.016,3.352,.202,UTM,WGS84,WGS84,12,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.29259,-108.35523,51.25385,-109.30733,50.87708,-106.73683,49.68757,-109.93525,49.32276,-107.44298,LT50380252011251PAC02,LT50380252011251PAC02,http://earthexplorer.usgs.gov/download/options/5440/LT50380252011251PAC02
LT50380252011235PAC01,LANDSAT_5,BUMPER,PAC,DAY, 038, 025,2,2011/08/23,2011:235:17:53:57.88556,2011:235:17:54:24.49844,N,9,9,9,9,9,9,9,9,.08,.02,.17,.01,.12,47.62089761,149.447448, 50.29025   (50°17'24.90"N),-108.35362   (108°21'13.03"W), 51.25150   (51°15'05.40"N),-109.30569  (109°18'20.48"W), 50.87475   (50°52'29.10"N),-106.73530   (106°44'07.08"W), 49.68522   (49°41'06.79"N),-109.93356   (109°56'00.82"W), 49.32042 (49°19'13.51"N),-107.44140   (107°26'29.04"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27985   (51°16'47.46"N),-110.02216   (110°01'19.78"S), 51.20070   (51°12'02.52"N),-106.58779   (106°35'16.04"S), 49.33751   (49°20'15.04"N),-110.06121  (110°03'40.36"W), 49.26359   (49°15'48.92"N),-106.76334   (106°45'48.02"S),8001,7201,7201,8001,86,4.593,3.16,3.333,.229,UTM,WGS84,WGS84,12,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.29025,-108.35362,51.2515,-109.30569,50.87475,-106.7353,49.68522,-109.93356,49.32042,-107.4414,LT50380252011235PAC01,LT50380252011235PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50380252011235PAC01
LT50370252011228PAC01,LANDSAT_5,BUMPER,PAC,DAY, 037, 025,2,2011/08/16,2011:228:17:47:50.78931,2011:228:17:48:17.40219,N,9,9,9,9,9,9,9,9,19.93,9.68,31.09,18.13,20.81,49.64636789,147.69288079, 50.28553   (50°17'07.91"N),-106.80670   (106°48'24.12"W), 51.24677   (51°14'48.37"N),-107.75870  (107°45'31.32"W), 50.87005   (50°52'12.18"N),-105.18856   (105°11'18.82"W), 49.68048   (49°40'49.73"N),-108.38647   (108°23'11.29"W), 49.31572 (49°18'56.59"N),-105.89454   (105°53'40.34"W),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.24943   (51°14'57.95"N),-108.62268   (108°37'21.65"S), 51.30549   (51°18'19.76"N),-105.07173   (105°04'18.23"S), 49.22974   (49°13'47.06"N),-108.47257  (108°28'21.25"W), 49.28193   (49°16'54.95"N),-105.06875   (105°04'07.50"S),8261,7501,7501,8261,50,3.422,2.628,2.192,.173,UTM,WGS84,WGS84,13,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,50.28553,-106.8067,51.24677,-107.7587,50.87005,-105.18856,49.68048,-108.38647,49.31572,-105.89454,LT50370252011228PAC01,LT50370252011228PAC01,http://earthexplorer.usgs.gov/download/options/5440/LT50370252011228PAC01
